十,じゅう・とお,10
調査隊,ちょうさたい,research team
光,ひかり,ray/light
扱う,あつかう,handle/treat
魅力,みりょく,charm/fascination
感じる,かんじる,to feel/to experience/to sense
期待,きたい,expectation/anticipation/hope
新人,しんじん,new face/newcomer
研究,けんきゅう,study/research
頼む,たのむ,to request/to beg/to order
案内する,あんあい,guidance/showing around
お小遣い,おこづかい,personal expenses/pocket money
研究所,けんきゅうしょ,research institute
囲む,かこむ,to surround
秘める,ひめる,secret/conceal
信頼,しんらい,trust/faith/confidence
存在,そんざい,existence/being
吊り橋,つりばし,suspension bridge/rope bridge
秘密,ひみつ,secret/secrecy
段差,だんさ,difference in level (roads/paths)/ ramps/steps
通る,とおる,traffice/avenue/commute
趣,おもむき,meaning/effect
世話,せわ,looking after/help
未熟,みじゅく,unripe/inexperience
役に立つ,やくにたつ,to be helpful/useful
屋根,やね,roof
白衣,はくい,white robe (doctor's)
裁縫,さいほう,sewing
結局,けっきょく,after all/eventually
はかどる,to make progress
独り言,ひとりごと,monologue
入り込む,はいりこむ,to go into/to step in/to penerate
能力,のうりょく,ability
最大限,さいだいげん,maximum/to the max
活きる,いきる,lively/living
新時代,しんじだい,new period/new age
世間的,せけんてき,public/ordinary
数える,かぞえる,number/count/math
慣れる,なれる,accustomed to
目的,もくてき,purpose/goal
目的地,もくてきち,place of destination
頼る,たよる,to rely on/depend on
知識,ちしき,information/knowledge
味,み・あじ,flavor/taste
注,ちゅう・そそ,to pour/to shed
夏,か・なつ,summer
魚,ぎょ・さかな・うお,fish
寺,じ・てら,temple
広,こう・ひろ,wide
転,ころ・てん,roll over
借,しゃく・か,borrow
走,はし・そう,run
建,たて・けん,build
地,ち,ground
場,じょう・ば,place
足,あし・そく,foot/leg
死,し,death
駅員,えきいん,station attendant
大きさ,おおきさ,size
親,おや,parent
期末試験,きまつしけん,final examination
ごみ,garbage
砂糖,さとう,sugar
奨学金,しょうがくきん,scholarship
親せき,しんせき,relatives
推薦状,すいせんじょう,letter of recommendation
大学院,だいがくいん,graduate school
台風,たいふう,typhoon
ファイル,file
道,みち,road/way
目覚まし時計,めざましどけい,alarm clock
汚い,きたない,dirty
起こす,おこす,to wake someone up
奢る,おごる,to treat someone to a meal
落ち込む,おちこむ,to get depressed
困る,こまる,to have difficulty
出す,だす,to take something out/to hand in something
連れて行く,つれていく,to take someone to a place
直す,なおす,to correct/fix
道に迷う,みちにまよう,to become lost
見つかる,みつかる,to be found
迎えに行く,むかえにいく,to go to pick up
訳す,やくす,to translate
アイロンをかける,to iron
入れる,いれる,to put something in
乗り遅れる,のりおくれる,to miss
見せる,みせる,to show
朝寝坊する,おさねぼうする,to oversleep
説明する,せつめいする,"to explain
"
迎えに来る,むかえにくる,to come to pick something up
今日中に,きょうじゅうに,by the end of today
この間,このあいだ,the other day
このぐらい,about this much
これから,from now on
失礼します,しつれいします,excuse me/sorry
自分で,じぶんで,do something by oneself
授業中に,じゅぎょうちゅうに,in class/during the class
他の,ほかの,other
身につける,みにつける,to learn/acquire knowledge
一歩,いっぽ,step/level/stage/small degree
安心,あんしん,relief/piece of mind
互いに,たがいに,mutually/with each other
隣,となり,neighbor/next to
日食,にっしょく,solar eclipse
一部,いちぶ,one part/one section
隠す,かくす,conceal/hide/cover
打ち消す,うちけす,to deny/contradict
起源,きげん,origin/beginning/rise
急に,きゅうに,quickly/hastily
傷つく,きずつく,to be wounded
異なる,ことなる,to differ/to disagree
年上,としうえ,older/senior
追い越す,おいこす,to pass/to overtake/to surpass
得る,える,to gain/find/earn/acquire
途中,とちゅう,on the way/in the middle of
知らせ,しらせ,news/word/tidings/notice
怒り,いかり,anger/rage
試練,しれん,test/trial/probation
動く,うごく,to move/to stir/to operate
案,あん,plan/suggestion/draft
撫でる,なでる,to stroke/to caress/to brush gently
皆の衆,みなのしゅう,everybody
街,まち,boulevard
はるばる,from afar
出回る,でまわる,to appear on the market/to be in season
拡張,かくちょう,expansion/extension
 撮影,さつえい,photography
説明,せつめい,explanation
ごらん,please try to/please look
貼る,はる,to stick/paste/apply
自然,しぜん,nature/natural/spontaneous
油断,ゆだん,intelligence
向こう,むこう,opposite
騒ぐ,さわぐ,to make noise/ to disturb
奪う,うばう,to snatch away/to steal
纏める,まとめる,to put together/to collect
茂み,しげみ,thicket
向かう,むかう,to face/to go towards
瀕する,ひんする,to be on the verge of
鎮める,しずめる,to tranquilize
伝わる,つたわる,to transmit/walk along/report
自慢,じまん,pride/boast
足止め,あしどめ,preventing someone from leaving
因む,ちなむ,to be associated with
ちょっぴり,a tiny bit
通信,つうしん,communication
交換,こうかん,exchange/switching
進む,すすむ,advance/progress/promote
降り注ぐ,ふりそそぐ,to downpour
場所,ばしょ,place
提供,ていきょう,offer
世界,せかい,world
世代,せだい,generation
視界,しかい,visibility
全部,ぜんぶ,all
安全,あんぜん,safety
供,きょう・供・そな,companion/offer
世,せ・せい・よ,world/world
界,かい,world
全,ぜん・まった・すべ,all
部,ぶ・へ,part/section
始,し・はじ,begin
週,しゅう,week
毎週,まいしゅう,every week
以,い,by means of/compared with
〜以外,いがい,other than
〜以上,いじょう,or more
以前,いぜん,before/formerly
考,こう・かんが,think/idea
開,かい・あ・ひら,open
屋,おく・や,shop/house
方,ほう・かた・がた,direction/person
本屋,ほにゃ,bookstore
魚屋,さかなや,fish shop
屋上,おくじょう,roof top
読み方,よみかた,way of reading
屋内,おくない,indoor
夕方,ゆうがた,evening
方法,ほうほう,method
両方,りょうほう,both
運,うん・はこ,transportation/luck
運がいい,うんがいい,lucky
運動,うんどう,exercise
動,どう・うご,move
動物,どうぶつ,animal
自動車,じどうしゃ,automobile
動詞,どうし,verb
教,おし・きょう,teach
教える,おしえる,to teach
教会,きょうかい,church
教室,きょうしつ,classroom
室,しつ,room
地下室,ちかしつ,basement
待合室,まちあいしつ,waiting room
お客さん,おきゃくさん,guest/visitor/customer
お湯,おゆ,hot water
かぎ,key
火事,かじ,fire
紙,かみ,paper
給料,きゅうりょう,salary
コンタクト,contacts
最低,さいてい,the lowest/the worst
残基,ざんぎょう,overtime work
首相,しゅしょう,prime minister
ショッピングモール,shopping mall
スプーン,spoon
宝くじ,たからくじ,lottery
違い,ちがい,difference
動物園,どうぶつえん,zoo
ニュース,news
パンダ,panda
ヒーター,heater
ひげ,beard
秘密,ひみつ,secret
ブーツ,boots
寮,りょう,dormitory
旅行会社,りょこうがいしゃ,travel agency
危ない,あぶない,dangerous
うらやましい,envious
少ない,すくない,a little/a few
強い,つよい,strong
選ぶ,えらぶ,to choose
お湯を沸かす,おゆをわかす,to boil water
髪をとかす,かみをとかす,to comb one's hair
宝くじに当たる,たからくじにあたる,to win a lottery
脱ぐ,ぬぐ,to take off clothes
ひげをそる,to shave one's beard
いれる,to make tea/coffee
生まれる,うまれる,to be born
かぎをかける,to lock
足りる,たりる,to be sufficient
お祈りする,おいのりする,to pray
化粧する,けしょうする,to put on makeup
就職する,しゅうしょくする,to get a full time job
離婚する,りこんする,to get a divorce
〜かな,I wonder
自分,じぶん,oneself
随分,ずいぶん,very
そうか,I see (casual)
それに,moreover
例えば,たとえば,for example
〜に比べて,〜にくらべて,compared with
〜によると,according to...
前,まえ,before
やっぱり,after all
手段,しゅだん,means/way/measure
制御,せいぎょ,control (of a machine/opponent/emotions)
許す,ゆるす,permit/approve
台座,だいざ,pedestal
追いかけっこ,おいかけっこ,chasing one another
虹,にじ,rainbow
魂,だましい,soul/spirit
繰り出す,くりだす,to let out/send out
分け与える,わけあたえる,to distribute/hand out
光り輝く,ひかりかがやく,to shine/to glitter
退屈,ていくつ,tedium/boredom/dullness/to get tired of
用意,ようい,preparation/arrangements
手分け,てわけ,division of labor
初対面,しょたいめん,first meeting
出前,でまえ,home delivery
素直,すなお,obedient/meek/docile
遺跡,いせき,historic ruins
興味,きょうみ,interest
示す,しめす,to show/demonstrate/to point out
持ち合わせる,もちあわせる,to happen to have in stock
麗しい,うるわしい,beautiful/lovely
独自,どくじ,original/unique/independent
風習,ふうしゅう,custom (tradition)
腕試し,うでだめし,trying one's ability
鍛える,きたえる,to forge/discipline/train
西部劇,せいぶげき,western (film genre)
決闘,けっとう,duel/shoot-out
再会,さいかい,another meeting
歳,さい・せい,year/age
二十歳,はたち,20 year-old
お歳暮,おせいぼ,year-end gift
主,しゅ・おも,main/lord
主に,おもに,mainly
ご主人,ごしゅじん,husband
持ち主,もちぬし,owner
結,けっ・けつ・むす,tie/join
結果,けっか,result
結論,けつろん,conclusion
特集,とくしゅう,feature
集中する,しゅうちゅうする,to concentrate
婚,こん,marriage
未婚,みこん,unmarried
発,はっ・はつ・ぱつ,start/reveal
発明,はつめい,invention
表,ぴょう・ひょう・あらわ・おもて,to express/surface
表紙,ひょうし,cover page
表す,あらわす,to express
品,ひん・じな・しな,goods/refinement
作品,さくひん,piece of work
手品,てじな,magic
上品な,じょうひんな,elegant
字,じ,character/letter
名字,みょうじ,family. name
大文字,おおもじ,upper case letters
活,かつ,lively
活動,かつどう,activity
活発な,かっぱつな,active
写,しゃ・うつ,copy
写生,しゃせい,sketch
写す,うつす,to copy
描写する,びょうしゃする,to describe
真,しん・ま,true/reality
歩道,ほどう,sidewalk
進歩,しんぽ,progress
野,や・の,field
渋谷,しぶや,Shibuya
新宿,しんじゅく,Shinjuku
原宿,はらじゅく,Harajuku
品川,しながわ,Shinagawa
後,あと,the rest
カーテン,curtain
クッション,cushion
シャンプー,shampoo
しょう油,しょうゆ,soy sauce
スイッチ,switch
外,そと,outside
エアコン,air conditioning
日記,にっき,diary
虫,むし,bug
家賃,やちん,rent
夕方,ゆうがた,evening
留守番電話,るすばんでんわ,answering machine
冷蔵庫,れいぞうこ,refridgerator
ろうそく,candle
明るい,あかるい,bright
気分が悪い,きぶんがわるい,to feel sick
暗い,くらい,dark
恥ずかしい,はずかしい,embarassing
開く,あく,(something) opens
謝る,あやまる,to apologize
押す,おす,to press/to push
落とす,おとす,to drop (something)
お湯が沸く,おゆがわく,water boils
転ぶ,ころぶ,to fall down
咲く,さく,to bloom
閉まる,しまる,(something) closes
助かる,たすかる,to be helped
頼む,たのむ,to ask a favor
汚す,よごす,to make dirty
落ちる,おちる,something drops
消えろ,きえる,something goes off
壊れる,こわれる,something breaks
汚れる,よごれる,to become dirty
注文する,ちゅうもんする,to place an order
今すぐ,いますぐ,right away
おかげで,thanks to...
お先に失礼します,おさきにしつれいします,see you (polite)
お疲れ様,おつかれさま,you must be tired after working hard
〜だろう,short form of でしょう
どうしよう,what should I/we do?
本当に,ほんとうに,really
まず,first of all
〜までに,by time/date
